Feature,SHAP_mean_abs,SHAP_mean,SHAP_std,Direction
log_total_spent,0.09929683363641423,-0.03185354475157886,0.1125337357198558,↓ Réduit fidélité
total_spent,0.08991703885661172,-0.030597071374834542,0.10237751577848964,↓ Réduit fidélité
is_high_value,0.034862485020058155,-0.005031498172340353,0.03800078047828908,→ Neutre
state_encoded,0.02315407067593592,-0.004882052502014825,0.02751152674882238,→ Neutre
log_recency,0.013991483507435008,-0.009609377813720406,0.02156718594909667,→ Neutre
recency_days,0.013099451118227572,-0.00780749479540915,0.01932511265080086,→ Neutre
